Dish_ID,Dish_Name,Category,Meal_Type,Description,Availability,Tag
DISH-CUT-FRUITS,Cut fruits,Accompaniments 1,Lunch,,Yes,Elite
DISH-SHIRAZI-SALAD,Shirazi salad,Accompaniments 1,Dinner,,Yes,Elite
DISH-ROASTED-SWEET-POTATO,Roasted sweet potato,Accompaniments 2,Lunch,,Yes,Elite
DISH-CRUNCHY-NUT-MIX,Crunchy Nut mix,Accompaniments 3,Lunch,,Yes,Elite
DISH-MAPLE-TOGARASHI-SPICED-NUTS,Maple Togarashi Spiced Nuts,Accompaniments 3,Dinner,,Yes,Elite
DISH-PROTEIN-CHICKEN-COLLAGEN-MILLET-KANJI,Protein Chicken Collagen Millet Kanji,Combos,Lunch,,Yes,Weight Loss
DISH-PROTEIN-MILLET-KANJI-VEG-ADAPTED,Protein Millet Kanji (Veg Adapted),Combos,Lunch,,Yes,Weight Loss
DISH-RAGI-JOWAR-CHAPPATHI-COMBO,Ragi Jowar Chappathi combo,Combos,Dinner,,Yes,Elite
DISH-ABC-SMOOTHIE,ABC Smoothie,Detox smoothies,Drink,,Yes,Elite
DISH-MINT-PINEAPPLE-SPINACH-SMOOTHIE,Mint Pineapple Spinach Smoothie,Detox smoothies,Drink,,Yes,Elite
DISH-MINT-SMOOTHIE,Mint Smoothie,Detox smoothies,Drink,,Yes,Weight Loss
DISH-MONKFRUIT-LEMONADE,Monkfruit lemonade,Detox smoothies,Drink,,Yes,Elite
DISH-AMLA-TURMERIC-KANJI,Amla Turmeric Kanji,Gut boosters,,,Yes,
DISH-BEETROOT-CARROT-KANJI,Beetroot Carrot Kanji,Gut boosters,,,Yes,
DISH-BEETROOT-KANJI,Beetroot Kanji,Gut boosters,Drink,,Yes,Weight Loss
DISH-MASALA-CHAAS,Masala Chaas,Gut boosters,Drink,,Yes,Elite
DISH-PINEAPPLE-GUT-BOOSTER-TEPACHE,Pineapple Gut Booster Tepache,Gut boosters,Drink,,Yes,Elite
DISH-AMLA-KANJI,Amla Kanji,Menu,Drink,,Yes,Weight Loss
DISH-CHIA-PB-SMOOTHIE-MR,Chia PB Smoothie (MR),Menu,Drink,,Yes,Weight Loss
DISH-CHIA-PROTEIN-SMOOTHIE-MR,Chia Protein Smoothie (MR),Menu,Drink,,Yes,Weight Loss
DISH-CHICKEN,Chicken,Menu,Lunch,,Yes,Weight Loss
DISH-CHICKEN-SANDWICH,Chicken Sandwich,Menu,Lunch,,Yes,Weight Loss
DISH-FURIKAKE-AVOCADO-TOAST,Furikake Avocado Toast,Menu,Lunch,,Yes,Weight Loss
DISH-FURIKAKE-TOAST,Furikake Toast,Menu,Lunch,,Yes,Weight Loss
DISH-MESCLUN,Mesclun,Menu,Lunch,,Yes,Weight Loss
DISH-MESCLUN-SALAD,Mesclun Salad,Menu,Lunch,,Yes,Weight Loss
DISH-PANEER,Paneer,Menu,Lunch,,Yes,Weight Loss
DISH-PROTEIN-CHICKEN-KANJI,Protein Chicken Kanji,Menu,Lunch,,Yes,Weight Loss
DISH-PROTEIN-MILLET-KANJI,Protein Millet Kanji,Menu,Lunch,,Yes,Weight Loss
DISH-PROTEIN-MILLET-KANJI-VEG,Protein Millet Kanji (Veg),Menu,Lunch,,Yes,Weight Loss
DISH-RAGI-COMBO,Ragi combo,Menu,Lunch,,Yes,Weight Loss
DISH-TEPACHE,Tepache,Menu,Drink,,Yes,Weight Loss
DISH-VEGAN-CHOCOLATE-CHIPS-ALMOND-OATS-COOKIES,Vegan Chocolate Chips Almond Oats Cookies,Menu,Snack,,Yes,Elite
DISH-YUZU,Yuzu,Menu,Dinner,,Yes,Weight Loss
DISH-YUZU-SALAD,Yuzu Salad,Menu,Lunch,,Yes,Weight Loss
